"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow";"Unit";"Process";"Driver_type"
"46";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";10.2176;"gC.m-2.y-1";"Fall/wind";"Passive"
"47";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.31;"gN.m-2.y-1";"Fall/wind";"Passive"
"48";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.69;"gN.m-2.y-1";"Fall/wind";"Passive"
"49";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.55;"gN.m-2.y-1";"Fall/wind";"Passive"
"50";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.06;"gN.m-2.y-1";"Fall/wind";"Passive"
"51";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0655;"gP.m-2.y-1";"Fall/wind";"Passive"
"52";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0845;"gP.m-2.y-1";"Fall/wind";"Passive"
"53";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0775;"gP.m-2.y-1";"Fall/wind";"Passive"
"54";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.103;"gP.m-2.y-1";"Fall/wind";"Passive"
"55";"10.1890/04-138";5;"Fish invasion restructures stream and forest food webs by interrupting reciprocal prey subsidies";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.397476;"gC.m-2.y-1";"Fall/wind";"Passive"
"56";"10.1007/s00442-007-0743-x";6;"Invading rainbow trout usurp a terrestrial prey subsidy from native charr and reduce their growth and abundance";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.679293;"gC.m-2.y-1";"Fall/wind";"Passive"
"57";"10.1046/j.1365-2427.1996.00080.x";7;"The energetic importance of terrestrial arthropod inputs to three warm-water streams";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.41092;"gC.m-2.y-1";"Fall/wind";"Passive"
"58";"10.1046/j.1365-2427.1996.00080.x";7;"The energetic importance of terrestrial arthropod inputs to three warm-water streams";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.45612;"gC.m-2.y-1";"Fall/wind";"Passive"
"59";"10.1046/j.1365-2427.1996.00080.x";7;"The energetic importance of terrestrial arthropod inputs to three warm-water streams";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.59642;"gC.m-2.y-1";"Fall/wind";"Passive"
"60";"10.1899/0887-3593(2006)25[198:EODTOC]2.0.CO/2";8;"Effects of different types of conditioning on rates of leaf-litter shredding by Xiphocariselongata, a Neotropical freshwater shrimp";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";5110;"gDW.m-2.y-1";"Fall/wind";"Passive"
"61";"10.1899/0887-3593(2006)25[198:EODTOC]2.0.CO/2";8;"Effects of different types of conditioning on rates of leaf-litter shredding by Xiphocariselongata, a Neotropical freshwater shrimp";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";1534.534535;"gC.m-2.y-1";"Fall/wind";"Passive"
"62";"10.1080/00288330.1995.9516680";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.48508;"gAFDW.m-2.y-1";"Fall/wind";"Passive"
"63";"10.1080/00288330.1995.9516681";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.20091;"gAFDW.m-2.y-1";"Fall/wind";"Passive"
"64";"10.1080/00288330.1995.9516680";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.24254;"gC.m-2.y-1";"Fall/wind";"Passive"
"65";"10.1080/00288330.1995.9516681";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.100455;"gC.m-2.y-1";"Fall/wind";"Passive"
"66";"10.1080/00288330.1995.9516680";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.052384;"gN.m-2.y-1";"Fall/wind";"Passive"
"67";"10.1080/00288330.1995.9516681";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.021697;"gN.m-2.y-1";"Fall/wind";"Passive"
"68";"10.1080/00288330.1995.9516680";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.002619;"gP.m-2.y-1";"Fall/wind";"Passive"
"69";"10.1080/00288330.1995.9516681";9;"Annual contribution of terrestrial invertebrates to a New Zealand trout stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.001085;"gP.m-2.y-1";"Fall/wind";"Passive"
"70";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.589931;"gDW.m-2.y-1";"Life-cycle";"Active"
"71";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.14118;"gDW.m-2.y-1";"Life-cycle";"Active"
"72";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.273138;"gC.m-2.y-1";"Life-cycle";"Active"
"73";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.065366;"gC.m-2.y-1";"Life-cycle";"Active"
"74";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.060468;"gN.m-2.y-1";"Life-cycle";"Active"
"75";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.014471;"gN.m-2.y-1";"Life-cycle";"Active"
"76";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.004719;"gP.m-2.y-1";"Life-cycle";"Active"
"77";"10.1007/s11284-006-0060-6";10;"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest–stream boundary";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.001129;"gP.m-2.y-1";"Life-cycle";"Active"
"78";"10.1034/j.1600-0587.2003.03355.x";11;"Stream meanders increase insectivorous bird abundance in riparian deciduous forests";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.10317;"gDW.m-2.y-1";"Life-cycle";"Active"
"79";"10.1034/j.1600-0587.2003.03355.x";11;"Stream meanders increase insectivorous bird abundance in riparian deciduous forests";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.047768;"gC.m-2.y-1";"Life-cycle";"Active"
