"Paper_ID";"DOI";"Title"
"77";77;"10.1023/A:1003037200703";"The macrobenthos of the pristine stream, Skiftessaa, HËylandet, Norway"
"78";78;"10.1134/S1995425516040107";"Emergence of amphibiotic insects from a floodplain lake in the Usman Forest in the Central Russian forest steppe"
"79";79;"";"Emergence of Trichoptera from Findley Lake and two ponds in the coniferous forest of the Cascade Mountains, USA"
"80";80;"";"Macrobenthos. In: Hobbie et al. Limnology of tundra ponds: Barrow, Alaska "
"81";81;"10.1111/oik.01524";"Boomerang ecosystem fluxes: Organic carbon inputs from land to lakes are returned to terrestrial food webs via aquatic insects"
"82";82;"";"Dispersal of Terrestrial Plant Litter into a Subalpine Lake"
"83";83;"10.1007/s00027-008-8074-5";"Airborne carbon deposition on a remote forested lake"
"84";84;"10.1134/S1995425516040053";"Substance and energy flows formed by the emergence of amphibiotic insects across the water_air boundary on the floodplain lakes of the Volga River"
"85";85;"10.1007/s10021-008-9194-4";"Periodical cicada detritus impacts stream ecosystem metabolism"
"86";86;"10.1139/cjfas-2015-0548";"Invasive European bird cherry (Prunus padus) reduces terrestrial prey subsidies to urban Alaskan salmon streams"
"87";87;"10.1007/s00027-013-0320-9";"How hydroperiod and species richness affect the balance of resource flows across aquatic-terrestrial habitats"
"88";88;"10.1073/pnas.1614778114";"Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River"
"89";89;"10.1080/03680770.1983.11897578";"The influence of beaver (Castor canadensis) on the production dynamics of aquatic insects"
"90";90;"10.2307/1942458";"Nitrogen budget for a small coniferous forest stream"
"91";91;"10.1111/fwb13130";"Amphibian-mediated nutrient fluxes accros aquatic-terrestrial boundaries of temporary wetlands"
"92";92;"10.1139/f97-034";"Terrestrial invertebrates as salmonid prey and nitrogen sources in streams: contrasting old-growth and young-growth riparian forests in southeastern Alaska, U.S.A"
"93";93;"10.2307/1467430";"Seasonal and storm dynamics of the hyporheic zone of a 4th-order mountain stream. II: Nitrogen cycling"
"94";94;"10.1111/j.1442-9993.1993.tb00465.x";"Litter Inputs To a Tropical Australian Rain-Forest Stream"
"95";95;"10.1007/s00442-009-1489-4";"Deviation from strict homeostasis across multiple trophic levels in an invertebrate consumer assemblage exposed to high chronic phosphorus enrichment in a neotropical stream"
"96";96;"10.1139/cjz-2014-0141";"Abundance, biomass production, nutrient content, and the possible role of terrestrial salamanders in Missouri Ozark forest ecosystems"
"97";97;"10.1111/j.1365-2427.2012.02740.x";"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition"
"98";98;"10.1111/j.1365-2486.2008.01781.x";"Controls on long-term root and leaf litter decomposition in neotropical forests"
"99";99;"10.1899/06-113.1";"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river"
"100";100;"";"Recycling of marine elements trans- ported into freshwater systems by anadromous salmon"
"101";101;"";"Effects of alewife spawning migrations"
"102";102;"10.1016/j.geoderma.2007.10.016";"Redistributed lacustrine detritus as a spatial subsidy of biological resources for soils in an Antarctic dry valley"
"103";103;"10.1002/iroh.200911173";"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders"
"104";104;"10.1111/j.1365-2427.2006.01515.";"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?"
"105";105;"10.2307/2260228";"Litterfall and Decomposition Processes in the Coastal Fynbos Vegetation, South-Western Cape, South Africa"
"106";106;"10.1007/s11104-007-9272-y";"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates"
"107";107;"10.2136/sssaj2008.0111";"Boreal Mixed-Wood Watershed Riparian Zone Cation Cycling during Two Contrasting Climatic Years"
"108";108;"10.1007/BF00032137";"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland"
"109";109;"10.1007/s10750-015-2302-5";"Decomposition of sea lamprey Petromyzon marinus carcasses: temperature effects, nutrient dynamics, and implications for stream food webs"
"110";110;"10.1007/s00442-013-2860-z";"Differing nutritional constraints of consumers across ecosystems"
"111";111;"10.1046/j.1461-0248.2003.00481.x";"Consumer-resource stoichiometry in detritus-based streams"
"112";112;"10.1111/j.1365-2427.2008.02138.x";"Resource quality and stoichiometric constraints on stream ecosystem functioning"
"113";113;"10.2307/1467977";"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes"
"114";114;"10.1007/s11104-009-0214-8";"Soil nitrogen cycling rates in low arctic shrub tundra are enhanced by litter feedbacks"
"115";115;"10.1111/j.1466-8238.2009.00474.x";"Global trends in senesced-leaf nitrogen and phosphorus"
