"DOI";"Paper_ID";"Title";"Mattyp1";"Exporter_ecosyst";"Ratio";"Type_ecosyst"
"340";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Stream";0.15625;"Aquatic"
"343";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Stream";0.166666666666667;"Aquatic"
"346";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Stream";0.161290322580645;"Aquatic"
"349";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Stream";0.172413793103448;"Aquatic"
"352";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Stream";0.196078431372549;"Aquatic"
"355";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Stream";0.178571428571429;"Aquatic"
"358";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Terr. plants";"Forest";0.0136986301369863;"Terrestrial"
"361";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Terr. plants";"Forest";0.0121951219512195;"Terrestrial"
"367";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Terr. plants";"Forest";0.0277777777777778;"Terrestrial"
"370";"10.1046/j.1461-0248.2003.00481.x";111;"Consumer-resource stoichiometry in detritus-based streams";"Aqu. insects";"Lake";0.181818181818182;"Aquatic"
"372";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0699300699300699;"Terrestrial"
"375";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0239234449760766;"Terrestrial"
"378";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0180831826401447;"Terrestrial"
"381";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0520833333333333;"Terrestrial"
"384";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0253807106598985;"Terrestrial"
"387";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.00887311446317657;"Terrestrial"
"390";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0187265917602996;"Terrestrial"
"393";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.037593984962406;"Terrestrial"
"396";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0122249388753056;"Terrestrial"
"399";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0235294117647059;"Terrestrial"
"402";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0392156862745098;"Terrestrial"
"405";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0332225913621262;"Terrestrial"
"408";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0297619047619048;"Terrestrial"
"411";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0248756218905473;"Terrestrial"
"414";"10.1111/j.1365-2427.2008.02138.x";112;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Terr. plants";"Forest";0.0139275766016713;"Terrestrial"
"442";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.18450184501845;"Aquatic"
"443";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.170068027210884;"Aquatic"
"444";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.185528756957328;"Aquatic"
"445";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.17825311942959;"Aquatic"
"446";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.17636684303351;"Aquatic"
"447";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.18348623853211;"Aquatic"
"448";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.174216027874564;"Aquatic"
"449";"10.2307/1467977";113;"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes";"Aqu. insects";"Lake";0.174825174825175;"Aquatic"
"450";"10.1007/s11104-009-0214-8";114;"Soil nitrogen cycling rates in low arctic shrub tundra are enhanced by litter feedbacks";"Terr. plants";"Grassland";0.0198412698412698;"Terrestrial"
"451";"10.1007/s11104-009-0214-8";114;"Soil nitrogen cycling rates in low arctic shrub tundra are enhanced by litter feedbacks";"Terr. plants";"Grassland";0.0272479564032698;"Terrestrial"
"452";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0367647058823529;"Terrestrial"
"454";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0131233595800525;"Terrestrial"
"456";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.015625;"Terrestrial"
"457";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0151515151515152;"Terrestrial"
"458";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0165562913907285;"Terrestrial"
"460";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0242718446601942;"Terrestrial"
"462";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0217391304347826;"Terrestrial"
"464";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0142450142450142;"Terrestrial"
"466";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0269541778975741;"Terrestrial"
"469";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0354609929078014;"Terrestrial"
"471";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0126903553299492;"Terrestrial"
"472";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0282485875706215;"Terrestrial"
"474";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0199203187250996;"Terrestrial"
"475";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0139470013947001;"Terrestrial"
"476";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0234192037470726;"Terrestrial"
"478";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0242130750605327;"Terrestrial"
"480";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0259067357512953;"Terrestrial"
"482";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.018018018018018;"Terrestrial"
"484";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0307692307692308;"Terrestrial"
"486";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.00689655172413793;"Terrestrial"
"487";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0175438596491228;"Terrestrial"
"488";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.00952380952380952;"Terrestrial"
"489";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0099009900990099;"Terrestrial"
"490";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.010989010989011;"Terrestrial"
"491";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0101729399796541;"Terrestrial"
"492";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0142857142857143;"Terrestrial"
"493";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0159744408945687;"Terrestrial"
"495";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.013869625520111;"Terrestrial"
"496";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0224215246636771;"Terrestrial"
"498";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.025706940874036;"Terrestrial"
"500";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0266666666666667;"Terrestrial"
"502";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0303030303030303;"Terrestrial"
"504";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0267379679144385;"Terrestrial"
"506";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0384615384615385;"Terrestrial"
"508";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0197628458498024;"Terrestrial"
"510";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0290697674418605;"Terrestrial"
"512";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0192307692307692;"Terrestrial"
"513";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0159489633173844;"Terrestrial"
"514";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0251889168765743;"Terrestrial"
"516";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0311526479750779;"Terrestrial"
"518";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0145137880986938;"Terrestrial"
"520";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.0348432055749129;"Terrestrial"
"522";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.03125;"Terrestrial"
"524";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Grassland";0.0127713920817369;"Terrestrial"
"526";"10.1111/j.1466-8238.2009.00474.x";115;"Global trends in senesced-leaf nitrogen and phosphorus";"Terr. plants";"Forest";0.036231884057971;"Terrestrial"
