"DOI";"Paper_ID";"Title";"Mattyp1";"Exporter_ecosyst";"Ratio";"Type_ecosyst"
"190";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0202839756592292;"Terrestrial"
"191";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0301204819277108;"Terrestrial"
"192";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0378787878787879;"Terrestrial"
"193";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0549450549450549;"Terrestrial"
"194";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0366676444705192;"Terrestrial"
"195";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0508974674081885;"Terrestrial"
"196";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0444206008676154;"Terrestrial"
"197";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0646022424043016;"Terrestrial"
"198";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0539467538440167;"Terrestrial"
"199";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0476295479611489;"Terrestrial"
"200";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0396126760633121;"Terrestrial"
"201";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.049862877088008;"Terrestrial"
"202";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0383597883557291;"Terrestrial"
"203";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0540098199531234;"Terrestrial"
"204";"10.1111/j.1365-2427.2006.01515.";104;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Terr. plants";"Forest";0.0326657129190957;"Terrestrial"
"211";"10.2307/2260228";105;"Litterfall and Decomposition Processes in the Coastal Fynbos Vegetation, South-Western Cape, South Africa";"Terr. plants";"Forest";0.0112138500880892;"Terrestrial"
"212";"10.2307/2260228";105;"Litterfall and Decomposition Processes in the Coastal Fynbos Vegetation, South-Western Cape, South Africa";"Terr. plants";"Forest";0.0111299754759683;"Terrestrial"
"213";"10.2307/2260228";105;"Litterfall and Decomposition Processes in the Coastal Fynbos Vegetation, South-Western Cape, South Africa";"Terr. plants";"Forest";0.00870445344358619;"Terrestrial"
"220";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.014367816091954;"Terrestrial"
"221";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.0196078431372549;"Terrestrial"
"222";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.0334683436386776;"Terrestrial"
"223";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.023567006191238;"Terrestrial"
"224";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.021618282889338;"Terrestrial"
"225";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.0323122114960777;"Terrestrial"
"226";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.0258436565543774;"Terrestrial"
"227";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.018018018018018;"Terrestrial"
"228";"10.1007/s11104-007-9272-y";106;"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates";"Terr. plants";"Forest";0.0295786061571552;"Terrestrial"
"247";"10.2136/sssaj2008.0111";107;"Boreal Mixed-Wood Watershed Riparian Zone Cation Cycling during Two Contrasting Climatic Years";"Terr. plants";"Forest";0.0220939183996527;"Terrestrial"
"248";"10.2136/sssaj2008.0111";107;"Boreal Mixed-Wood Watershed Riparian Zone Cation Cycling during Two Contrasting Climatic Years";"Terr. plants";"Forest";0.0263529411774627;"Terrestrial"
"249";"10.2136/sssaj2008.0111";107;"Boreal Mixed-Wood Watershed Riparian Zone Cation Cycling during Two Contrasting Climatic Years";"Terr. plants";"Forest";0.0147479307747969;"Terrestrial"
"250";"10.2136/sssaj2008.0111";107;"Boreal Mixed-Wood Watershed Riparian Zone Cation Cycling during Two Contrasting Climatic Years";"Terr. plants";"Forest";0.0206989247319061;"Terrestrial"
"259";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.229564032700362;"Aquatic"
"260";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.236798088387001;"Aquatic"
"263";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.239075144497615;"Aquatic"
"264";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.240732159419408;"Aquatic"
"267";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.240553860580579;"Aquatic"
"269";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.208076009503758;"Aquatic"
"271";"10.1007/BF00032137";108;"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland";"Carcass";"Stream";0.194283162117706;"Aquatic"
"273";"10.1007/s10750-015-2302-5";109;"Decomposition of sea lamprey Petromyzon marinus carcasses: temperature effects, nutrient dynamics, and implications for stream food webs";"Carcass";"Stream";0.196078431372549;"Aquatic"
"274";"10.1007/s10750-015-2302-5";109;"Decomposition of sea lamprey Petromyzon marinus carcasses: temperature effects, nutrient dynamics, and implications for stream food webs";"Carcass";"Stream";0.208333333333333;"Aquatic"
"279";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.155763239875389;"Terrestrial"
"280";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.165016501650165;"Terrestrial"
"281";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.16;"Terrestrial"
"282";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.160513643659711;"Terrestrial"
"283";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.174520069808028;"Terrestrial"
"284";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.164744645799012;"Terrestrial"
"285";"10.1007/s00442-013-2860-z";110;"Differing nutritional constraints of consumers across ecosystems";"Terr. inverteb.";"Grassland";0.109769484083425;"Terrestrial"
