"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow"
"99";"10.1890/11-1700.1";27;"An invasive riparian tree reduces stream ecosystem efficiency via a recalcitrant organic matter subsidy";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";0.25
"100";"10.1890/11-1700.1";27;"An invasive riparian tree reduces stream ecosystem efficiency via a recalcitrant organic matter subsidy";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";11
"101";"10.1890/11-1700.1";27;"An invasive riparian tree reduces stream ecosystem efficiency via a recalcitrant organic matter subsidy";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";6
"102";"10.1890/11-1700.1";27;"An invasive riparian tree reduces stream ecosystem efficiency via a recalcitrant organic matter subsidy";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";150.5
"103";"10.1002/rra.1431";28;"Regulation leads to increases in riparian vegetation, but not direct allochthonous inputs, along the Colorado River in Grand Canyon, Arizona";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";2.585
"104";"10.1139/f84-181";29;"Particulate Allochthonous Inputs: Relationships with Stream Size in an Undisturbed Watershed";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";59.86764706
"105";"10.1139/f84-181";29;"Particulate Allochthonous Inputs: Relationships with Stream Size in an Undisturbed Watershed";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";144.5
"106";"10.1139/f84-181";29;"Particulate Allochthonous Inputs: Relationships with Stream Size in an Undisturbed Watershed";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";296.9166667
"107";"10.1139/f84-181";29;"Particulate Allochthonous Inputs: Relationships with Stream Size in an Undisturbed Watershed";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";8.560928433
"108";"10.1139/f84-181";29;"Particulate Allochthonous Inputs: Relationships with Stream Size in an Undisturbed Watershed";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";17.46917808
"109";"";30;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";193
"110";"10.1046/j.1365-2427.2001.00667.x";31;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";4.3152
"111";"10.1046/j.1365-2427.2001.00667.x";31;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.5296
"112";"10.2307/1942301";32;"Energy Flow in Bear Brook, New Hampshire: An Integrative Approach to Stream Ecosystem Metabolism";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";240.39
"118";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";33;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.025388256
